PAPEL,COTACAO,P/L,P/VP,PSR,DIV_YIELD,P/ATIVO,P/CAP_GIRO,P/EBIT,P/ATIV_CIRC_LIQ,EV/EBIT,EV/EBITDA,MRG_EBIT,MRG_LIQ,LIQ_CORR,ROIC,ROE,LIQ_2MESES,PATRIM_LIQ,DIV_BRUT/PATRIM,CRESC_REC_5A
UGPA3,"12,31","16,14","1,36",125,"3,01%",352,"1,11","9,11","-3,90","18,17","11,31","1,37%","0,81%","1,98","5,17%","8,45%","99.338.900,00","10.066.900.000,00","1,76","5,36%"
ODPV3,"11,74","16,40","5,59","3,385","3,80%","3,225","-670,11","10,62","-27,11","10,05","9,15","31,89%","20,70%","0,98","37,28%","34,09%","20.373.900,00","1.115.800.000,00","0,00","6,18%"
EQPA5,"7,00","16,45","4,29","2,079","4,43%","1,209","7,55","8,85","-4,46","10,05","8,43","23,48%","12,63%","1,56","18,92%","26,05%","281,73","3.607.190.000,00","1,30","8,38%"
MODL4,"3,73","16,77","2,08",0,"1,90%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","12,42%","80.941,40","1.260.560.000,00","0,00","237,21%"
BMOB3,"13,91","16,78","1,23","2,587","0,00%",875,"2,29","14,90","2,60","8,85","6,34","17,36%","15,41%","2,58","10,72%","7,32%","10.569.100,00","1.029.720.000,00","0,00","77,83%"
VITT3,"12,70","16,96","3,78","2,332","0,77%","2,148","6,18","12,04","7,51","13,10","12,24","19,38%","13,83%","1,95","20,80%","22,30%","2.054.020,00","480.364.000,00","0,53","34,28%"
ABEV3,"13,78","17,12","2,63","2,978","4,38%","1,565","-906,76","14,14","-13,60","13,13","9,85","21,07%","18,01%","0,99","15,96%","15,33%","408.203.000,00","82.643.000.000,00","0,04","10,40%"
IGTI3,"2,27","17,56","1,22","4,891","0,24%",569,"2,27","12,15","-2,66","16,26","11,21","40,27%","40,35%","4,64","6,46%","6,97%","1.427.800,00","3.429.380.000,00","1,00","3,67%"
B3SA3,"13,60","17,64","3,69","8,084","6,12%","1,520","8,38","12,80","-12,59","11,26","9,67","63,16%","45,83%","1,64","21,23%","20,92%","625.362.000,00","22.580.300.000,00","0,62","33,84%"
PDTC3,"5,75","17,66","3,51","1,312","0,00%","1,049","2,91","15,15","17,87","15,83","10,46","8,66%","7,43%","1,90","10,64%","19,91%","415.470,00","128.337.000,00","0,84","454,04%"
JOPA3,"28,00","17,94","0,54",158,"3,06%",135,"0,36","5,04","3,81","12,41","9,63","3,13%","1,26%","2,12","4,13%","3,01%","1.849,66","547.682.000,00","1,95","15,08%"
GPAR3,"39,00","18,14","1,97","14,529","1,30%","1,437","8,43","16,04","-23,10","15,30","15,30","90,60%","80,10%","5,32","10,12%","10,88%","496,42","1.539.700.000,00","0,06","-1,91%"
AGXY3,"9,85","18,52","1,23",295,"0,00%",282,"2,59","9,67","41,68","14,00","9,76","3,05%","1,42%","1,16","6,00%","6,66%","1.343.530,00","1.364.840.000,00","0,98","0,00%"
LJQQ3,"6,75","18,53","2,33",622,"2,10%",470,"1,82","7,17","-3,86","6,75","4,60","8,67%","3,35%","1,62","9,41%","12,60%","28.818.900,00","541.509.000,00","0,49","23,01%"
MODL11,"12,38","18,55","2,31",0,"1,71%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","12,42%","8.374.400,00","1.260.560.000,00","0,00","237,21%"
ALPA3,"19,19","19,01","3,86","3,320","1,75%","1,632","-12,29","19,34","-9,78","18,64","15,63","17,16%","17,54%","0,75","9,96%","20,31%","124.935,00","3.395.640.000,00","0,03","-0,31%"
IGTI11,"17,98","19,87","1,38","5,534","0,00%",644,"2,57","13,74","-3,01","17,85","12,32","40,27%","40,35%","4,64","6,46%","6,97%","43.190.100,00","3.429.380.000,00","1,00","3,67%"
CSED3,"4,45","19,91","1,17",941,"3,38%",356,"2,27","5,84","-0,85","6,08","3,63","16,11%","4,73%","2,31","8,04%","5,89%","4.921.450,00","1.448.400.000,00","0,81","0,00%"
RENT3,"53,98","20,03","5,38","3,756","0,82%","1,617","20,91","12,70","-3,81","15,01","13,08","29,57%","18,75%","1,39","17,67%","26,83%","384.138.000,00","7.617.090.000,00","1,63","15,51%"
RPAD6,"4,63","20,25","0,38",0,"0,00%",374,"6,46","-107,07","6,47","-88,12","-88,12","0,00%","0,00%","7,26","-0,37%","1,86%","2.779,12","1.038.890.000,00","0,00","-30,32%"
JPSA3,"29,02","20,27","1,93","4,667","0,29%",468,"2,34","12,96","-1,68","20,35","12,83","36,02%","46,31%","5,31","4,56%","9,51%","7.666.510,00","1.762.140.000,00","1,94","1,01%"
SBFG3,"19,22","20,85","2,13","1,033","0,00%",656,"2,82","15,49","-4,56","21,41","10,67","6,67%","4,95%","1,74","5,28%","10,23%","28.842.100,00","2.189.360.000,00","1,07","66,70%"
LAME4,"6,55","20,99","1,89",476,"0,00%",282,"1,19","7,32","-4,32","11,24","5,46","6,51%","2,51%","1,72","6,53%","9,02%","17.785.400,00","6.514.640.000,00","2,54","9,72%"
EGIE3,"40,38","21,07","4,16","2,627","6,37%",864,"12,01","5,90","-1,52","8,59","7,24","44,51%","12,48%","1,47","17,28%","19,72%","53.085.100,00","7.929.010.000,00","2,54","16,13%"
STBP3,"6,64","21,08","2,62","3,734","4,51%","1,206","7,43","15,66","-4,65","13,82","9,14","23,85%","17,71%","2,37","10,20%","12,42%","32.780.100,00","2.187.230.000,00","0,18","13,34%"
LAME3,"6,62","21,22","1,91",481,"0,00%",285,"1,20","7,40","-4,37","11,32","5,49","6,51%","2,51%","1,72","6,53%","9,02%","3.850.280,00","6.514.640.000,00","2,54","9,72%"
MTRE3,"4,91","21,35","0,53",905,"13,55%",328,"0,62","11,21","0,83","8,05","7,26","8,07%","4,77%","3,27","3,57%","2,46%","3.768.420,00","987.810.000,00","0,11","53,69%"
VIVA3,"23,97","21,40","4,22","4,486","1,37%","2,390","6,78","18,87","15,11","18,28","14,99","23,78%","20,96%","2,48","17,64%","19,70%","30.856.200,00","1.342.840.000,00","0,22","27,01%"
PNVL3,"11,47","21,86","1,68",550,"1,52%",765,"2,75","22,78","19,17","29,18","9,89","2,41%","2,52%","1,91","4,42%","7,67%","7.174.850,00","1.029.350.000,00","0,67","9,09%"
MODL3,"4,89","21,99","2,73",0,"1,45%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","12,42%","44.478,70","1.260.560.000,00","0,00","237,21%"
BALM3,"16,96","22,03","1,39","1,161","2,00%",765,"1,86","11,35","3,08","10,20","8,29","10,23%","4,31%","2,57","8,74%","6,31%","738,24","119.668.000,00","0,20","8,74%"
MILS3,"5,95","22,58","1,38","2,249","3,15%","1,033","3,71","13,26","7,07","12,32","5,40","16,96%","9,95%","3,38","10,47%","6,11%","7.093.440,00","1.088.030.000,00","0,20","26,39%"
ALPA4,"23,15","22,93","4,66","4,005","1,59%","1,969","-14,82","23,33","-11,80","22,64","18,97","17,16%","17,54%","0,75","9,96%","20,31%","127.212.000,00","3.395.640.000,00","0,03","-0,31%"
BOAS3,"6,12","23,00","1,62","4,542","1,42%","1,259","2,66","20,29","3,95","13,28","6,54","22,39%","19,75%","7,70","12,19%","7,06%","5.887.940,00","2.001.970.000,00","0,05","12,81%"
BMIN4,"16,12","23,04","0,60",0,"8,68%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","2,62%","38.651,00","128.621.000,00","0,00","-7,00%"
JOPA4,"36,00","23,07","0,70",203,"2,62%",174,"0,47","6,48","4,90","13,85","10,75","3,13%","1,26%","2,12","4,13%","3,01%","87,80","547.682.000,00","1,95","15,08%"
BRGE12,"6,79","23,32","0,40","115,247","0,01%",163,"0,43","-0,92","1,01","1,75","1,75","-12.515,70%","545,01%","2,80","-33,35%","1,72%","593,93","1.249.660.000,00","0,00","-29,81%"
BRGE3,"6,80","23,36","0,40","115,417","0,01%",163,"0,43","-0,92","1,01","1,74","1,75","-12.515,70%","545,01%","2,80","-33,35%","1,72%","1.682,17","1.249.660.000,00","0,00","-29,81%"
TFCO4,"9,36","23,73","6,09","3,696","6,33%","3,554","6,54","18,48","9,91","18,65","17,99","20,01%","15,57%","3,35","25,27%","25,65%","2.773.040,00","245.575.000,00","0,32","0,00%"
POWE3,"10,90","23,92","0,99",618,"0,49%",378,"6,57","17,61","-3,01","10,63","10,01","3,51%","2,59%","1,13","3,54%","4,13%","2.720.770,00","988.330.000,00","0,04","0,00%"
PGMN3,"8,91","24,04","1,89",525,"0,00%",602,"2,99","10,64","-4,07","12,09","6,91","4,93%","2,18%","1,60","8,05%","7,87%","8.142.640,00","2.090.200.000,00","0,57","5,76%"
GGPS3,"14,73","24,60","4,48","1,486","1,27%","1,489","5,12","17,52","-10,12","18,27","14,92","8,48%","6,04%","2,27","11,54%","18,21%","14.282.000,00","2.195.110.000,00","0,94","33,85%"
EQPA6,"10,69","25,13","6,55","3,174","2,90%","1,846","11,53","13,52","-6,80","14,72","12,35","23,48%","12,63%","1,56","18,92%","26,05%","156,44","3.607.190.000,00","1,30","8,38%"
ARZZ3,"79,38","25,25","5,48","2,981","1,06%","2,589","68,20","25,78","-68,34","26,59","20,25","11,56%","11,76%","1,08","13,37%","21,70%","94.106.500,00","1.590.580.000,00","0,34","17,02%"
VAMO3,"10,49","25,47","3,88","3,630","1,87%","1,006","2,79","13,59","-3,83","16,59","11,91","26,71%","14,25%","4,09","13,49%","15,24%","31.943.900,00","2.640.190.000,00","2,31","1.030,06%"
BPAC3,"14,00","25,59","4,31",0,"0,92%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","16,84%","233.253,00","37.379.700.000,00","0,00","36,32%"
AMBP3,"33,65","26,36","3,23","1,983","0,28%",782,"6,31","12,15","-1,85","18,15","11,33","16,32%","8,81%","1,67","7,88%","12,25%","25.385.400,00","1.177.230.000,00","2,27","98,90%"
MULT3,"19,95","26,45","1,88","9,302","2,47%","1,124","25,13","16,56","-4,34","19,66","15,38","56,19%","35,14%","1,45","7,43%","7,12%","127.766.000,00","6.360.380.000,00","0,48","0,89%"
BRGE11,"7,71","26,48","0,45","130,862","4,88%",185,"0,49","-1,05","1,15","1,62","1,63","-12.515,70%","545,01%","2,80","-33,35%","1,72%","106,78","1.249.660.000,00","0,00","-29,81%"
BMKS3,"239,99","26,52","0,57","5,596","3,30%",512,"0,68","-50,43","0,77","12,55","171,95","-11,10%","21,10%","37,44","-2,97%","2,16%","5.374,27","190.364.000,00","0,01","8,71%"
LOGN3,"25,19","27,35","5,86","1,908","0,00%","1,093","5,61","14,21","-2,62","18,94","11,45","13,43%","6,98%","1,97","10,93%","21,42%","11.661.400,00","455.181.000,00","3,28","11,45%"
RPAD3,"6,34","27,73","0,52",0,"0,00%",512,"8,85","-146,61","8,87","-127,66","-127,66","0,00%","0,00%","7,26","-0,37%","1,86%","5.897,59","1.038.890.000,00","0,00","-30,32%"
LUXM4,"82,00","28,16","4,16","3,467","1,96%","2,676","21,88","21,39","-30,39","20,93","11,85","16,20%","12,31%","1,83","15,72%","14,79%","105.390,00","102.314.000,00","0,19","2,99%"
BMIN3,"20,15","28,80","0,76",0,"0,00%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","2,62%","2.485,90","128.621.000,00","0,00","-7,00%"
LIPR3,"63,00","28,96","3,59",0,"3,21%","3,100","12,10","-125,84","13,93","-112,08","-112,15","0,00%","0,00%","3,51","-3,73%","12,39%","11.022,20","206.596.000,00","0,00","0,00%"
INTB3,"32,55","29,26","5,61","3,454","1,05%","2,999","6,32","28,80","8,09","27,48","24,76","11,99%","11,77%","2,33","21,28%","19,18%","40.059.900,00","1.900.430.000,00","0,24","34,84%"
MOSI3,"7,85","30,76","1,48","4,536","0,01%","1,384","1,80","85,45","1,81","38,74","22,45","5,31%","14,75%","13,30","8,12%","4,82%","5.326.140,00","670.337.000,00","0,00","0,00%"
NTCO3,"23,41","30,82","1,13",804,"0,00%",534,"8,60","14,71","-2,24","17,78","7,83","5,47%","2,59%","1,27","4,60%","3,67%","305.995.000,00","28.545.600.000,00","0,45","66,75%"
BRFS3,"16,24","31,46","1,56",273,"0,00%",236,"2,63","4,69","-0,63","10,95","5,54","5,82%","0,90%","1,24","8,36%","4,96%","245.746.000,00","8.462.530.000,00","3,01","10,56%"
BRGE8,"9,29","31,91","0,55","157,679","3,37%",222,"0,59","-1,26","1,38","1,41","1,41","-12.515,70%","545,01%","2,80","-33,35%","1,72%","286,39","1.249.660.000,00","0,00","-29,81%"
YDUQ3,"16,40","32,05","1,56","1,154","2,86%",512,"4,58","9,73","-1,38","16,82","7,30","11,86%","3,60%","1,59","6,59%","4,88%","61.581.200,00","3.241.580.000,00","1,70","6,04%"
ALSO3,"19,89","32,15","0,79","6,023","1,14%",475,"4,31","13,89","-3,32","16,17","10,77","43,36%","22,64%","3,18","3,88%","2,46%","29.103.100,00","6.693.810.000,00","0,32","31,67%"
SOMA3,"12,25","32,62","1,34","4,691","0,00%","1,009","6,07","44,32","26,60","47,63","30,69","10,58%","14,38%","2,40","2,50%","4,11%","62.780.200,00","7.173.400.000,00","0,14","0,00%"
RPAD5,"8,19","35,82","0,67",0,"6,88%",661,"11,43","-189,39","11,45","-170,44","-170,44","0,00%","0,00%","7,26","-0,37%","1,86%","4.771,54","1.038.890.000,00","0,00","-30,32%"
CCRO3,"12,36","35,89","3,02","2,039","1,34%",604,"12,14","7,02","-1,00","12,91","6,85","29,06%","6,58%","1,35","10,15%","8,42%","103.769.000,00","8.264.760.000,00","3,24","3,18%"
BRML3,"8,75","36,21","0,68","7,053","0,00%",373,"4,74","11,90","-1,17","15,94","14,89","59,28%","15,96%","3,94","3,43%","1,87%","167.811.000,00","10.717.700.000,00","0,38","-6,16%"
PINE4,"1,47","37,01","0,28",0,"0,00%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,76%","694.942,00","779.133.000,00","0,00","58,46%"
WEGE3,"31,98","37,43","9,87","5,697","1,42%","5,609","16,74","30,85","22,28","30,52","27,26","18,47%","15,52%","2,01","23,40%","26,36%","257.602.000,00","13.605.000.000,00","0,13","24,48%"
NGRD3,"2,33","38,06","1,19","2,264","0,53%",722,"2,24","18,59","7,47","11,21","6,92","12,18%","5,94%","2,94","6,64%","3,12%","3.611.120,00","467.883.000,00","0,19","8,90%"
LREN3,"22,80","39,69","2,37","2,307","1,82%","1,158","3,19","15,03","8,99","13,42","8,48","15,35%","5,81%","2,31","12,21%","5,98%","311.924.000,00","9.497.620.000,00","0,35","6,04%"
AMER3,"24,41","39,83","1,36",954,"0,00%",487,"2,53","21,72","-3,24","27,15","11,78","4,39%","2,40%","1,64","3,45%","3,42%","240.549.000,00","15.911.000.000,00","0,78","31,83%"
CSAB4,"50,00","41,24","2,21","132,826","4,09%","1,024","0,00","65,55","0,00","0,00","0,00","202,63%","322,07%","0,00","0,00%","5,36%","229,39","173.654.000,00","0,00","-10,08%"
SULA4,"11,14","42,80","1,75",699,"0,67%",490,"1,30","-52,25","-11,60","0,46","1,01","-1,34%","1,63%","2,24","-2,38%","4,09%","740.365,00","8.135.840.000,00","0,40","2,45%"
CEGR3,"79,89","43,68","20,32","4,700","1,47%","5,547","-37,75","26,29","-11,43","27,55","23,36","17,88%","10,76%","0,62","25,80%","46,52%","389,73","1.020.780.000,00","1,17","0,17%"
SULA11,"34,25","43,86","1,79",716,"0,66%",502,"1,34","-53,55","-11,88","-0,83","-1,81","-1,34%","1,63%","2,24","-2,38%","4,09%","172.832.000,00","8.135.840.000,00","0,40","2,45%"
SULA3,"11,80","45,33","1,85",740,"0,63%",519,"1,38","-55,34","-12,28","-2,63","-5,70","-1,34%","1,63%","2,24","-2,38%","4,09%","462.000,00","8.135.840.000,00","0,40","2,45%"
RDNI3,"9,30","48,09","0,65",860,"0,11%",210,"0,85","25,80","-1,16","55,66","41,80","3,33%","3,14%","2,03","0,86%","1,36%","228.798,00","624.110.000,00","0,85","16,57%"
RADL3,"22,40","49,21","7,91","1,534","0,87%","2,504","20,30","27,89","-15,83","28,75","14,57","5,50%","3,17%","1,31","12,33%","16,08%","158.678.000,00","4.677.670.000,00","0,32","16,28%"
TOTS3,"32,90","55,10","4,80","6,231","0,91%","2,042","9,37","18,69","746,07","17,39","14,02","33,33%","11,48%","1,65","16,52%","8,71%","146.562.000,00","4.232.930.000,00","0,44","9,13%"
SCAR3,"34,01","56,98","1,26","6,817","1,08%",568,"-8,09","12,81","-1,24","23,84","17,94","53,22%","11,94%","0,55","4,58%","2,21%","85.970,90","1.562.350.000,00","1,15","-12,95%"
BAUH4,"78,00","58,25","4,12","2,324","0,86%","2,518","-32,12","751,51","-26,02","731,38","73,93","0,31%","3,99%","0,79","0,51%","7,07%","45.080,90","98.830.000,00","0,00","2,41%"
MGLU3,"5,13","58,62","3,07",981,"0,29%",902,"3,74","131,26","-13,25","141,39","34,51","0,75%","1,67%","1,61","1,09%","5,25%","868.311.000,00","11.261.200.000,00","0,60","32,13%"
AERI3,"5,40","59,80","4,14","1,664","0,00%","1,340","3,24","21,08","-40,35","23,97","20,51","7,89%","2,78%","2,80","11,21%","6,92%","12.433.400,00","999.592.000,00","1,46","12,56%"
CBEE3,"21,00","60,48","1,36",595,"0,00%",311,"-2,89","5,12","-0,58","10,82","7,19","11,63%","0,98%","0,69","6,79%","2,25%","3.107,22","3.712.960.000,00","1,61","11,13%"
RDOR3,"52,01","72,24","7,32","5,386","2,55%","2,048","6,14","26,68","-7,37","30,19","23,56","20,19%","8,04%","4,36","10,66%","10,13%","202.715.000,00","14.285.100.000,00","1,89","46,09%"
ANIM3,"6,41","73,65","1,00","1,180","0,00%",251,"6,81","8,30","-0,42","22,38","11,10","14,21%","1,75%","1,31","3,31%","1,36%","18.861.400,00","2.577.160.000,00","2,00","19,40%"
DMVF3,"3,89","99,47","0,23",172,"0,00%",134,"5,28","2,61","-0,83","2,01","0,89","6,60%","0,17%","1,10","6,35%","0,24%","413.200,00","838.138.000,00","0,06","0,40%"
APER3,"31,22","107,08","1,60","3,232","0,00%",895,"9,81","63,90","-4,79","52,65","19,25","5,06%","2,98%","1,56","1,69%","1,50%","1.289.100,00","296.290.000,00","0,00","11,34%"
BRPR3,"7,37","109,15","0,49","10,709","2,77%",310,"9,18","16,03","-1,12","25,05","24,85","66,79%","9,81%","1,56","2,11%","0,45%","13.443.000,00","7.101.700.000,00","0,41","-8,14%"
PETZ3,"17,87","109,54","4,67","3,918","0,22%","2,384","12,40","39,60","-25,26","37,37","19,55","9,90%","3,58%","1,95","8,58%","4,27%","119.700.000,00","1.759.260.000,00","0,13","45,85%"
SQIA3,"15,41","116,31","1,70","4,412","0,10%","1,087","2,38","45,58","6,01","32,87","14,25","9,68%","4,28%","6,56","4,77%","1,46%","18.079.700,00","798.855.000,00","0,30","24,57%"
RAIL3,"15,71","193,50","1,97","3,915","0,00%",605,"3,67","18,48","-1,40","25,93","11,99","21,18%","2,09%","2,79","4,14%","1,02%","213.043.000,00","14.795.400.000,00","1,43","5,17%"
HAPV3,"12,02","220,48","8,09","8,982","0,17%","4,933","193,62","164,30","-27,93","163,40","59,16","5,47%","4,13%","1,14","3,56%","3,67%","471.181.000,00","10.615.600.000,00","0,19","37,43%"
BIDI3,"5,55","413,32","1,69",0,"0,53%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,41%","12.485.800,00","8.488.640.000,00","0,00","44,69%"
BIDI11,"17,15","425,73","1,74",0,"0,52%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,41%","387.693.000,00","8.488.640.000,00","0,00","44,69%"
BIDI4,"5,85","435,66","1,78",0,"0,51%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,41%","100.280.000,00","8.488.640.000,00","0,00","44,69%"
LWSA3,"9,29","12.993,80","1,86","7,896","0,00%","1,305","3,25","174,04","5,31","120,21","34,77","4,54%","0,06%","3,82","1,33%","0,01%","146.391.000,00","2.950.560.000,00","0,04","53,23%"
