PAPEL,COTACAO,P/L,P/VP,PSR,DIV_YIELD,P/ATIVO,P/CAP_GIRO,P/EBIT,P/ATIV_CIRC_LIQ,EV/EBIT,EV/EBITDA,MRG_EBIT,MRG_LIQ,LIQ_CORR,ROIC,ROE,LIQ_2MESES,PATRIM_LIQ,DIV_BRUT/PATRIM,CRESC_REC_5A
MOAR3,"415,00","8,21","3,85","-9.210,440","12,10%","2,473","12,27","-144,52","-40,18","-140,49","-143,86","6.373,01%","-112.119,00%","3,15","-2,34%","46,81%","489.358,00","1.322.230.000,00","0,31","176,34%"
ITUB3,"22,09","8,25","1,50",0,"3,31%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","18,15%","23.535.000,00","144.564.000.000,00","0,00","-33,65%"
COCE5,"51,98","8,28","1,16",499,"6,96%",360,"-26,71","3,60","-0,91","6,66","5,11","13,86%","6,02%","0,96","11,77%","14,01%","1.598.720,00","3.486.800.000,00","1,07","13,61%"
PTNT3,"12,29","8,30","1,73",750,"1,65%",764,"3,18","9,97","13,83","12,09","8,15","7,53%","10,20%","1,87","9,57%","20,87%","224.700,00","341.078.000,00","0,56","11,57%"
BRIV3,"6,99","8,40","0,39",0,"0,20%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","4,66%","12.805,00","1.580.930.000,00","0,00","35,28%"
SANB11,"34,15","8,54","0,00",0,"9,93%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","110.747.000,00","0,00","0,00","6,83%"
WHRL4,"6,20","8,55","3,71",822,"10,42%","1,028","9,55","9,05","17,83","7,92","6,75","9,09%","9,63%","1,16","35,93%","43,37%","167.363,00","2.511.990.000,00","0,44","6,66%"
GFSA3,"1,58","8,71","0,30",453,"0,00%",129,"0,31","4,30","1,03","10,23","9,12","10,54%","5,25%","2,44","3,46%","3,47%","12.012.400,00","1.765.520.000,00","0,67","5,85%"
SANB4,"17,52","8,76","0,00",0,"10,14%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","2.940.780,00","0,00","0,00","6,83%"
UCAS3,"3,44","8,76","1,35","1,030","6,21%",789,"3,88","8,67","5,60","6,02","4,43","11,88%","11,76%","1,57","13,19%","15,46%","185.567,00","167.781.000,00","0,09","7,00%"
