PAPEL,COTACAO,P/L,P/VP,PSR,DIV_YIELD,P/ATIVO,P/CAP_GIRO,P/EBIT,P/ATIV_CIRC_LIQ,EV/EBIT,EV/EBITDA,MRG_EBIT,MRG_LIQ,LIQ_CORR,ROIC,ROE,LIQ_2MESES,PATRIM_LIQ,DIV_BRUT/PATRIM,CRESC_REC_5A,SETOR
EQPA5,7.0,16.45,4.29,2.079,0.0443,1.209,7.55,8.85,-4.46,10.05,8.43,0.2348,0.1263,1.56,0.1892,0.2605,281.73,3607190000.0,1.3,0.08380000000000001,Energia
BMOB3,13.91,16.78,1.23,2.587,0.0,875.0,2.29,14.9,2.6,8.85,6.34,0.1736,0.15410000000000001,2.58,0.1072,0.0732,10569100.0,1029720000.0,0.0,0.7783,Serviços
GPAR3,39.0,18.14,1.97,14.529,0.013000000000000001,1.437,8.43,16.04,-23.1,15.3,15.3,0.9059999999999999,0.8009999999999999,5.32,0.1012,0.10880000000000001,496.42,1539700000.0,0.06,-0.0191,Energia
AGXY3,9.85,18.52,1.23,295.0,0.0,282.0,2.59,9.67,41.68,14.0,9.76,0.0305,0.014199999999999999,1.16,0.06,0.0666,1343530.0,1364840000.0,0.98,0.0,Agro
EGIE3,40.38,21.07,4.16,2.627,0.0637,864.0,12.01,5.9,-1.52,8.59,7.24,0.4451,0.12480000000000001,1.47,0.1728,0.1972,53085100.0,7929010000.0,2.54,0.1613,Energia
MTRE3,4.91,21.35,0.53,905.0,0.1355,328.0,0.62,11.21,0.83,8.05,7.26,0.08070000000000001,0.04769999999999999,3.27,0.035699999999999996,0.0246,3768420.0,987810000.0,0.11,0.5368999999999999,Construção
PNVL3,11.47,21.86,1.68,550.0,0.0152,765.0,2.75,22.78,19.17,29.18,9.89,0.0241,0.0252,1.91,0.044199999999999996,0.0767,7174850.0,1029350000.0,0.67,0.0909,Comércio & Distribuição
BRGE12,6.79,23.32,0.4,115.247,0.0001,163.0,0.43,-0.92,1.01,1.75,1.75,-125.15700000000001,5.4501,2.8,-0.3335,0.0172,593.93,1249660000.0,0.0,-0.2981,Seguros
BRGE3,6.8,23.36,0.4,115.417,0.0001,163.0,0.43,-0.92,1.01,1.74,1.75,-125.15700000000001,5.4501,2.8,-0.3335,0.0172,1682.17,1249660000.0,0.0,-0.2981,Seguros
POWE3,10.9,23.92,0.99,618.0,0.0049,378.0,6.57,17.61,-3.01,10.63,10.01,0.0351,0.0259,1.13,0.0354,0.041299999999999996,2720770.0,988330000.0,0.04,0.0,Energia
PGMN3,8.91,24.04,1.89,525.0,0.0,602.0,2.99,10.64,-4.07,12.09,6.91,0.0493,0.0218,1.6,0.0805,0.0787,8142640.0,2090200000.0,0.57,0.0576,Comércio & Distribuição
EQPA6,10.69,25.13,6.55,3.174,0.028999999999999998,1.846,11.53,13.52,-6.8,14.72,12.35,0.2348,0.1263,1.56,0.1892,0.2605,156.44,3607190000.0,1.3,0.08380000000000001,Energia
BRGE11,7.71,26.48,0.45,130.862,0.048799999999999996,185.0,0.49,-1.05,1.15,1.62,1.63,-125.15700000000001,5.4501,2.8,-0.3335,0.0172,106.78,1249660000.0,0.0,-0.2981,Seguros
LIPR3,63.0,28.96,3.59,0.0,0.0321,3.1,12.1,-125.84,13.93,-112.08,-112.15,0.0,0.0,3.51,-0.0373,0.12390000000000001,11022.2,206596000.0,0.0,0.0,Energia
MOSI3,7.85,30.76,1.48,4.536,0.0001,1.384,1.8,85.45,1.81,38.74,22.45,0.053099999999999994,0.1475,13.3,0.0812,0.0482,5326140.0,670337000.0,0.0,0.0,Serviços
BRGE8,9.29,31.91,0.55,157.679,0.0337,222.0,0.59,-1.26,1.38,1.41,1.41,-125.15700000000001,5.4501,2.8,-0.3335,0.0172,286.39,1249660000.0,0.0,-0.2981,Seguros
NGRD3,2.33,38.06,1.19,2.264,0.0053,722.0,2.24,18.59,7.47,11.21,6.92,0.12179999999999999,0.0594,2.94,0.0664,0.031200000000000002,3611120.0,467883000.0,0.19,0.08900000000000001,Serviços
CSAB4,50.0,41.24,2.21,132.826,0.0409,1.024,0.0,65.55,0.0,0.0,0.0,2.0263,3.2207,0.0,0.0,0.0536,229.39,173654000.0,0.0,-0.1008,Seguros
SULA4,11.14,42.8,1.75,699.0,0.0067,490.0,1.3,-52.25,-11.6,0.46,1.01,-0.0134,0.0163,2.24,-0.023799999999999998,0.0409,740365.0,8135840000.0,0.4,0.0245,Seguros
