PAPEL,COTACAO,P/L,P/VP,PSR,DIV_YIELD,P/ATIVO,P/CAP_GIRO,P/EBIT,P/ATIV_CIRC_LIQ,EV/EBIT,EV/EBITDA,MRG_EBIT,MRG_LIQ,LIQ_CORR,ROIC,ROE,LIQ_2MESES,PATRIM_LIQ,DIV_BRUT/PATRIM,CRESC_REC_5A,SETOR
CEPE5,28.0,5.56,1.14,246.0,0.0885,161.0,3.85,1.88,-0.3,7.29,5.55,0.1309,0.044199999999999996,1.15,0.09849999999999999,0.2052,5874.37,1832000000.0,3.66,0.12050000000000001,Energia
AFLT3,9.15,5.78,2.33,4.797,0.0689,2.092,11.44,5.59,17.81,5.43,5.42,0.858,0.8295,5.86,0.4105,0.4032,7216.9,247518000.0,0.0,0.3935,Energia
ENBR3,21.54,5.8,1.12,663.0,0.0719,375.0,4.34,3.68,-1.12,6.0,4.9,0.1802,0.12539999999999998,1.41,0.1184,0.1937,72254500.0,11151400000.0,0.95,0.0968,Energia
MDNE3,5.7,5.83,0.45,781.0,0.0,180.0,0.86,5.48,-1.23,4.8,4.58,0.1426,0.1371,1.85,0.0363,0.07719999999999999,1448150.0,1074620000.0,0.12,0.0395,Construção
EMAE4,40.5,6.03,1.85,3.009,0.045899999999999996,951.0,3.64,8.33,-6.49,6.68,6.48,0.3614,0.49920000000000003,4.29,0.1419,0.30760000000000004,512459.0,807010000.0,0.0,0.2811,Energia
CYRE3,14.97,6.25,0.97,1.321,0.0726,455.0,1.16,7.72,8.23,9.26,8.74,0.1711,0.22920000000000001,3.41,0.0723,0.15460000000000002,116298000.0,6198680000.0,0.55,0.14980000000000002,Construção
CSRN6,19.89,6.27,2.21,925.0,0.1131,644.0,-29.85,4.6,-1.51,7.31,6.18,0.2011,0.1474,0.93,0.1545,0.35229999999999995,574.93,1513000000.0,1.42,0.1257,Energia
MRVE3,10.63,6.38,0.84,722.0,0.0407,254.0,0.94,7.39,-1.22,13.55,11.43,0.0977,0.1268,2.4,0.0375,0.1315,75133000.0,6119510000.0,0.86,0.10619999999999999,Construção
CSAN3,20.95,6.41,2.66,1.576,0.0301,401.0,2.74,11.0,-0.94,20.18,12.44,0.1433,0.255,2.11,0.0455,0.4154,170420000.0,14740900000.0,3.32,0.3004,Petroleo
TAEE3,13.74,6.41,2.12,4.09,0.1093,893.0,19.78,5.32,-2.01,7.73,7.67,0.7683,0.6376,1.51,0.1734,0.3312,1073820.0,6684760000.0,1.02,0.3661,Energia
TAEE11,41.35,6.43,2.13,4.103,0.10890000000000001,896.0,19.84,5.34,-2.01,7.75,7.68,0.7683,0.6376,1.51,0.1734,0.3312,106474000.0,6684760000.0,1.02,0.3661,Energia
TAEE4,13.79,6.44,2.13,4.105,0.10890000000000001,897.0,19.85,5.34,-2.01,7.75,7.68,0.7683,0.6376,1.51,0.1734,0.3312,2210110.0,6684760000.0,1.02,0.3661,Energia
ENGI11,43.41,6.47,1.8,615.0,0.091,305.0,5.16,3.5,-0.57,7.18,5.63,0.17579999999999998,0.10460000000000001,1.28,0.1012,0.2784,85084400.0,8748260000.0,2.4,0.1679,Energia
WIZS3,7.62,6.48,3.88,1.492,0.0799,561.0,-5.1,3.34,-1.45,2.73,2.53,0.44630000000000003,0.252,0.69,0.2151,0.5993999999999999,12504000.0,313684000.0,0.73,0.12560000000000002,Seguros
TRIS3,4.22,6.53,0.64,1.017,0.0571,337.0,0.7,5.22,1.57,6.91,6.85,0.1949,0.1705,3.51,0.0791,0.0987,8360710.0,1221100000.0,0.53,0.17350000000000002,Construção
ENAT3,20.33,6.82,1.56,4.14,0.0095,932.0,2.64,14.77,9.75,10.65,3.82,0.2803,0.6067,3.47,0.11349999999999999,0.2284,34601100.0,3467240000.0,0.26,0.3068,Petroleo
ALUP11,26.1,6.86,1.17,1.461,0.0322,297.0,3.92,2.07,-0.68,4.27,4.12,0.7070000000000001,0.4056,1.8,0.15689999999999998,0.1703,19243200.0,6551240000.0,1.54,0.4378,Energia
ALUP3,8.72,6.87,1.17,1.465,0.0321,298.0,3.92,2.07,-0.68,4.28,4.12,0.7070000000000001,0.4056,1.8,0.15689999999999998,0.1703,85740.0,6551240000.0,1.54,0.4378,Energia
ALUP4,8.81,6.94,1.18,1.48,0.0318,301.0,3.97,2.09,-0.68,4.3,4.14,0.7070000000000001,0.4056,1.8,0.15689999999999998,0.1703,105195.0,6551240000.0,1.54,0.4378,Energia
EKTR4,29.75,7.01,1.78,678.0,0.1079,540.0,5.03,3.87,-1.5,6.8,5.67,0.1753,0.0966,1.47,0.15960000000000002,0.25420000000000004,7545.95,3234000000.0,1.55,0.0888,Energia
CMIG3,17.73,7.28,1.48,973.0,0.0663,565.0,10.87,5.87,-1.53,7.47,6.23,0.16579999999999998,0.1336,1.26,0.10980000000000001,0.2034,6155510.0,20262200000.0,0.56,0.0989,Energia
TRPL3,33.6,7.33,1.54,4.0,0.0828,764.0,8.79,5.6,-2.12,7.2,7.16,0.7142000000000001,0.5489,3.05,0.1422,0.2096,46110.9,14399200000.0,0.52,0.1716,Energia
CURY3,6.7,7.41,3.21,1.228,0.08439999999999999,898.0,2.25,5.48,9.42,5.02,4.94,0.22390000000000002,0.1746,2.15,0.2327,0.4337,8136350.0,608658000.0,0.64,0.0,Construção
EZTC3,16.65,7.6,0.86,3.621,0.0255,747.0,2.02,13.78,2.33,10.09,9.95,0.2627,0.4963,6.45,0.0689,0.1133,46621100.0,4389920000.0,0.0,0.1142,Construção
PFRM3,4.8,7.6,0.55,93.0,0.0564,147.0,0.69,2.48,23.77,4.03,2.64,0.0373,0.0123,1.5,0.0953,0.07200000000000001,374387.0,1086070000.0,0.51,0.12119999999999999,Comércio & Distribuição
PCAR3,22.81,7.66,0.45,120.0,0.0951,124.0,4.65,1.71,-0.4,1.92,1.21,0.0701,0.0187,1.08,0.1157,0.0588,52532400.0,13649000000.0,0.66,0.032,Comércio & Distribuição
EQMA3B,39.95,7.77,2.1,1.301,0.1155,859.0,7.21,5.57,-4.16,6.56,5.57,0.23379999999999998,0.16760000000000003,1.45,0.1975,0.2707,20216.6,3119880000.0,0.71,0.09359999999999999,Energia
EKTR3,33.0,7.78,1.98,752.0,0.08839999999999999,599.0,5.58,4.29,-1.66,7.22,6.02,0.1753,0.0966,1.47,0.15960000000000002,0.25420000000000004,508.44,3234000000.0,1.55,0.0888,Energia
EQTL3,25.85,7.94,2.44,1.316,0.024900000000000002,525.0,3.89,5.68,-1.33,8.06,7.04,0.23170000000000002,0.19329999999999997,1.61,0.1195,0.3077,189211000.0,11941100000.0,1.83,0.2774,Energia
CPFE3,30.74,8.01,2.4,943.0,0.1204,575.0,18.43,5.23,-1.14,7.38,6.09,0.1804,0.1201,1.14,0.1304,0.29960000000000003,77864400.0,14756100000.0,1.33,0.0876,Energia
ELET3,33.46,8.17,0.69,1.766,0.0287,272.0,2.82,-14.92,-0.73,-21.95,-46.89,-0.1184,0.2184,1.7,-0.0213,0.08439999999999999,144267000.0,76128500000.0,0.64,-0.07429999999999999,Energia
PSSA3,19.58,8.2,1.35,596.0,0.0667,304.0,5.38,0.74,-2.56,0.22,0.22,0.8012,0.0728,1.09,0.5193,0.1649,46684200.0,9364560000.0,0.0,0.0513,Seguros
ELET6,33.59,8.2,0.69,1.773,0.0315,273.0,2.83,-14.97,-0.74,-22.01,-47.01,-0.1184,0.2184,1.7,-0.0213,0.08439999999999999,71969100.0,76128500000.0,0.64,-0.07429999999999999,Energia
COCE5,51.98,8.28,1.16,499.0,0.0696,360.0,-26.71,3.6,-0.91,6.66,5.11,0.1386,0.0602,0.96,0.1177,0.1401,1598720.0,3486800000.0,1.07,0.1361,Energia
GFSA3,1.58,8.71,0.3,453.0,0.0,129.0,0.31,4.3,1.03,10.23,9.12,0.1054,0.0525,2.44,0.0346,0.0347,12012400.0,1765520000.0,0.67,0.058499999999999996,Construção
EEEL4,399.0,8.76,2.02,3.255,0.08349999999999999,868.0,3.3,9.72,-3.9,9.95,9.43,0.3348,0.3613,4.24,0.1039,0.2306,973.17,1906490000.0,0.36,0.0231,Energia
