Date,AFLT3,AGRO3,ALUP11,ALUP3,ALUP4,CEEB3,CSRN3,CSRN5,CURY3,EKTR4,EMAE4,EQMA3B,JHSF3,LAVV3,LVTC3,PETR3,PETR4,PLPL3,PSSA3,REDE3,SLCE3,TRPL3,TRPL4,WIZS3
2021-03-15,8.949999809265137,22.989999771118164,24.239999771118164,8.15999984741211,7.900000095367432,41.22999954223633,15.300000190734863,15.050000190734863,8.779999732971191,24.81999969482422,55.9900016784668,42.9900016784668,7.039999961853027,7.039999961853027,,23.260000228881836,23.649999618530273,5.889999866485596,22.450000762939453,9.390000343322754,36.409088134765625,28.799999237060547,24.81999969482422,6.650000095367432
2021-03-16,9.09000015258789,22.940000534057617,24.100000381469727,8.1899995803833,7.820000171661377,41.22999954223633,15.300000190734863,15.050000190734863,8.670000076293945,25.0,58.5,42.9900016784668,6.690000057220459,6.900000095367432,,22.90999984741211,23.280000686645508,5.550000190734863,22.450000762939453,9.399999618530273,36.5,29.079999923706055,25.200000762939453,6.320000171661377
2021-03-17,9.380000114440918,23.260000228881836,24.5,8.579999923706055,8.039999961853027,41.0,14.5,15.050000190734863,8.880000114440918,25.100000381469727,58.400001525878906,42.9900016784668,7.199999809265137,7.449999809265137,,23.639999389648438,24.079999923706055,5.46999979019165,23.469999313354492,9.140000343322754,37.92727279663086,28.920000076293945,25.079999923706055,6.760000228881836
2021-03-18,9.239999771118164,22.639999389648438,24.31999969482422,8.489999771118164,7.929999828338623,41.0,14.979999542236328,14.710000038146973,8.859999656677246,24.5,58.400001525878906,42.9900016784668,6.860000133514404,7.320000171661377,,22.969999313354492,23.239999771118164,5.389999866485596,22.96500015258789,9.149999618530273,37.54545211791992,28.84000015258789,25.0,6.579999923706055
2021-03-19,9.199999809265137,22.850000381469727,24.8700008392334,8.6899995803833,8.229999542236328,41.0,15.050000190734863,15.399999618530273,9.25,24.700000762939453,59.900001525878906,42.9900016784668,7.039999961853027,7.659999847412109,,23.520000457763672,24.0,5.889999866485596,24.3799991607666,9.149999618530273,37.318180084228516,29.299999237060547,24.889999389648438,6.71999979019165
2021-03-22,9.25,22.940000534057617,24.600000381469727,8.5600004196167,8.15999984741211,41.0,15.199999809265137,15.420000076293945,9.350000381469727,25.0,61.459999084472656,42.9900016784668,7.119999885559082,7.71999979019165,,23.079999923706055,23.520000457763672,6.099999904632568,24.03499984741211,9.149999618530273,37.87272644042969,29.190000534057617,24.75,6.760000228881836
2021-03-23,9.100000381469727,22.360000610351562,24.90999984741211,8.4399995803833,8.149999618530273,41.0,15.510000228881836,15.420000076293945,9.350000381469727,25.0,61.29999923706055,43.0099983215332,7.0,7.809999942779541,,22.549999237060547,22.799999237060547,6.019999980926514,23.3700008392334,9.149999618530273,37.081817626953125,29.399999618530273,24.81999969482422,6.980000019073486
2021-03-24,9.180000305175781,22.309999465942383,24.610000610351562,8.569999694824219,8.149999618530273,41.0,15.510000228881836,15.420000076293945,8.859999656677246,26.399999618530273,60.0,43.0099983215332,6.78000020980835,7.78000020980835,,22.530000686645508,22.81999969482422,5.78000020980835,22.9950008392334,9.149999618530273,37.54545211791992,29.100000381469727,24.170000076293945,6.949999809265137
2021-03-25,9.069999694824219,21.799999237060547,24.989999771118164,8.640000343322754,8.270000457763672,41.400001525878906,15.510000228881836,15.420000076293945,8.979999542236328,26.989999771118164,60.0,43.0099983215332,6.949999809265137,7.809999942779541,,22.959999084472656,23.200000762939453,6.150000095367432,23.2549991607666,9.170000076293945,37.61817932128906,29.010000228881836,24.530000686645508,6.920000076293945
2021-03-26,9.0600004196167,21.90999984741211,25.299999237060547,8.699999809265137,8.260000228881836,41.400001525878906,15.510000228881836,15.420000076293945,9.0,26.989999771118164,60.58000183105469,42.5099983215332,6.739999771118164,7.699999809265137,,23.299999237060547,23.459999084472656,6.190000057220459,23.520000457763672,9.15999984741211,38.60908889770508,30.100000381469727,25.59000015258789,6.699999809265137
2021-03-29,9.0,21.729999542236328,25.479999542236328,8.729999542236328,8.430000305175781,41.400001525878906,15.510000228881836,15.600000381469727,9.079999923706055,26.989999771118164,60.59000015258789,42.9900016784668,6.730000019073486,7.389999866485596,,23.649999618530273,23.829999923706055,6.329999923706055,23.40999984741211,9.15999984741211,39.68181610107422,31.0,26.270000457763672,6.929999828338623
2021-03-30,9.020000457763672,22.15999984741211,25.540000915527344,8.75,8.470000267028809,41.0,14.800000190734863,15.0600004196167,9.350000381469727,26.989999771118164,60.5,42.9900016784668,7.139999866485596,7.550000190734863,,23.579999923706055,23.829999923706055,6.239999771118164,23.545000076293945,9.15999984741211,38.990909576416016,30.200000762939453,26.299999237060547,7.150000095367432
2021-03-31,8.640000343322754,22.719999313354492,25.649999618530273,8.819999694824219,8.460000038146973,39.9900016784668,14.800000190734863,15.0600004196167,9.739999771118164,26.979999542236328,58.79999923706055,42.9900016784668,6.960000038146973,7.769999980926514,,23.940000534057617,24.100000381469727,6.269999980926514,23.489999771118164,9.15999984741211,40.581817626953125,30.110000610351562,25.329999923706055,7.53000020980835
